fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,color,wine_id
7.2,0.08,0.49,1.3,0.05,18,148,0.9945,3.46,0.44,10.2,6,white,2720
12.3,0.5,0.49,2.2,0.089,5,14,1.0002,3.19,0.44,9.6,5,red,3974
7.8,0.4,0.26,9.5,0.059,32,178,0.9955,3.04,0.43,10.9,6,white,2782
6.4,0.24,0.49,5.8,0.053,25,120,0.9942,3.01,0.98,10.5,6,white,4758
5.6,0.23,0.29,3.1,0.023,19,89,0.99068,3.25,0.51,11.2,6,white,4907
6.6,0.33,0.32,15.6,0.054,62,227,0.99734,3.25,0.56,10.4,5,white,1435
7.5,0.18,0.31,11.7,0.051,24,94,0.997,3.19,0.44,9.5,7,white,4515
6.5,0.51,0.25,1.7,0.048,39,177,0.99212,3.28,0.57,10.6,5,white,1857
6.4,0.42,0.09,2.3,0.054,34,64,0.99724,3.41,0.68,10.4,6,red,2358
8.1,0.26,0.37,1.9,0.072,48,159,0.9949,3.37,0.7,10.9,6,white,4946
7.3,0.28,0.42,1.2,0.033,29,142,0.99205,3.17,0.43,10.7,4,white,644
5.8,0.22,0.25,1.5,0.024,21,109,0.99234,3.37,0.58,10.4,6,white,3051
5.8,0.24,0.44,3.5,0.029,5,109,0.9913,3.53,0.43,11.7,3,white,2538
6.6,0.26,0.38,6.5,0.17,68,201,0.9956,3.19,0.38,9.4,6,white,1444
6.3,0.18,0.36,1.2,0.034,26,111,0.99074,3.16,0.51,11,6,white,2215
6.1,0.16,0.24,1.4,0.046,17,77,0.99319,3.66,0.57,10.3,6,white,1225
7.6,1.58,0,2.1,0.137,5,9,0.99476,3.5,0.4,10.9,3,red,2713
6.2,0.23,0.23,1.2,0.018,18,128,0.99178,3.05,0.28,10.6,5,white,1340
7.2,0.38,0.38,2.8,0.068,23,42,0.99356,3.34,0.72,12.9,7,red,4809
6.4,0.15,0.44,1.2,0.043,67,150,0.9907,3.14,0.73,11.2,7,white,4228
8.2,0.23,0.49,0.9,0.057,15,73,0.9928,3.07,0.38,10.4,6,white,404
7.8,0.46,0.26,1.9,0.088,23,53,0.9981,3.43,0.74,9.2,6,red,931
6.1,0.24,0.27,11.5,0.05,51,133,0.99476,3.22,0.37,10.8,6,white,3724
7.3,0.3,0.25,2.5,0.045,32,122,0.99329,3.18,0.54,10.3,5,white,2149
6.1,0.28,0.3,7.75,0.031,33,139,0.99296,3.22,0.46,11,6,white,220
7.2,0.34,0.24,2,0.071,30,52,0.99576,3.44,0.58,10.1,5,red,1451
5.5,0.29,0.3,1.1,0.022,20,110,0.98869,3.34,0.38,12.8,7,white,4265
5.6,0.41,0.24,1.9,0.034,10,53,0.98815,3.32,0.5,13.5,7,white,4395
7,0.15,0.28,14.7,0.051,29,149,0.99792,2.96,0.39,9,7,white,5195
6.7,0.26,0.26,4,0.079,35.5,216,0.9956,3.31,0.68,9.5,5,white,3318
5.4,0.29,0.38,1.2,0.029,31,132,0.98895,3.28,0.36,12.4,6,white,1027
6.6,0.16,0.3,1.6,0.034,15,78,0.992,3.38,0.44,11.2,6,white,5145
6.1,0.37,0.46,12,0.042,61,210,0.997,3.17,0.59,9.7,6,white,3994
6.9,0.34,0.49,7.3,0.045,61,206,0.9957,3.09,0.4,9,6,white,3815
5.6,0.24,0.34,2,0.041,14,73,0.98981,3.04,0.45,11.6,7,white,4874
6.9,0.4,0.24,2.5,0.083,30,45,0.9959,3.26,0.58,10,5,red,2435
6.6,0.22,0.53,15.1,0.052,22,136,0.9986,2.94,0.35,9.4,5,white,3010
8.3,0.17,0.31,1.5,0.049,48,153,0.9942,3.12,0.58,9.4,6,white,3764
7.6,0.16,0.44,1.4,0.043,25,109,0.9932,3.11,0.75,10.3,6,white,1010
7.1,0.29,0.34,7.8,0.036,49,128,0.99397,3.21,0.4,10.7,6,white,4086
5.6,0.255,0.57,10.7,0.056,66,171,0.99464,3.25,0.61,10.4,7,white,3695
7.5,0.22,0.33,6.7,0.036,45,138,0.9939,3.2,0.68,11.4,6,white,2954
6.2,0.25,0.25,1.4,0.03,35,105,0.9912,3.3,0.44,11.1,7,white,5010
6.1,0.17,0.42,15.1,0.033,28,124,0.99684,2.87,0.47,9.5,5,white,1181
8.5,0.17,0.31,1,0.024,13,91,0.993,2.79,0.37,10.1,5,white,2753
4.9,0.335,0.14,1.3,0.036,69,168,0.99212,3.47,0.46,10.46666667,5,white,4730
6.3,0.17,0.32,4.2,0.04,37,117,0.99182,3.24,0.43,11.3,6,white,2151
9.7,0.55,0.17,2.9,0.087,20,53,1.0004,3.14,0.61,9.4,5,red,1589
7.1,0.18,0.26,1.3,0.041,20,71,0.9926,3.04,0.74,9.9,6,white,1484
9.1,0.3,0.41,2,0.068,10,24,0.99523,3.27,0.85,11.7,7,red,3822
6,0.29,0.25,1.4,0.033,30,114,0.98794,3.08,0.43,13.2,6,white,4881
6.4,0.23,0.3,7.1,0.037,63,236,0.9952,3.06,0.34,9.2,6,white,4955
7.3,0.3,0.33,2.3,0.043,28,125,0.99084,3.34,0.44,12.6,7,white,4510
7.3,0.34,0.3,1.3,0.057,25,173,0.9948,3.26,0.51,9.1,6,white,1487
7.9,0.16,0.74,17.85,0.037,52,187,0.9998,2.99,0.41,9.3,5,white,4443
14.3,0.31,0.74,1.8,0.075,6,15,1.0008,2.86,0.79,8.4,6,red,2795
7.8,0.27,0.34,1.6,0.046,27,154,0.9927,3.05,0.45,10.5,6,white,3548
6.4,0.35,0.28,12.6,0.039,19,124,0.99539,3.2,0.43,10.6,6,white,652
7.3,0.65,0,1.2,0.065,15,21,0.9946,3.39,0.47,10,7,red,2851
7.15,0.17,0.24,9.6,0.119,56,178,0.99578,3.15,0.44,10.2,6,white,3865
6.3,0.17,0.32,4.2,0.04,37,117,0.99182,3.24,0.43,11.3,6,white,2321
6.9,0.33,0.28,1.3,0.051,37,187,0.9927,3.27,0.6,10.3,5,white,678
5.7,0.21,0.32,1.6,0.03,33,122,0.99044,3.33,0.52,11.9,6,white,212
8.9,0.28,0.45,1.7,0.067,7,12,0.99354,3.25,0.55,12.3,7,red,154
6.6,0.23,0.27,5.6,0.043,43,164,0.9953,3.27,0.76,9.5,5,white,4507
8.2,0.23,0.4,1.2,0.027,36,121,0.992,3.12,0.38,10.7,6,white,2783
7.1,0.28,0.44,1.8,0.032,32,107,0.9907,3.25,0.48,12.2,7,white,4122
6.9,0.25,0.35,1.3,0.039,29,191,0.9908,3.13,0.52,11,6,white,348
6.6,0.3,0.25,8,0.036,21,124,0.99362,3.06,0.38,10.8,6,white,1287
7.1,0.23,0.35,16.5,0.04,60,171,0.999,3.16,0.59,9.1,6,white,4897
7.6,0.31,0.52,13.2,0.042,61,148,0.99839,2.98,0.47,9.1,6,white,2277
8,0.61,0.38,12.1,0.301,24,220,0.9993,2.94,0.48,9.2,5,white,1833
6.4,0.27,0.29,10.8,0.028,17,118,0.99356,3.18,0.37,11.2,6,white,2598
7.6,0.35,0.46,14.7,0.047,33,151,0.99709,3.03,0.53,10.3,5,white,1066
6,0.32,0.32,4.8,0.041,40,186,0.99235,3.22,0.54,11,6,white,4201
7.2,0.39,0.44,2.6,0.066,22,48,0.99494,3.3,0.84,11.5,6,red,1843
6,0.26,0.26,2.2,0.035,10,72,0.989465,3.11,0.48,12.15,6,white,792
8.1,0.2,0.28,0.9,0.023,49,87,0.99062,2.92,0.36,11.1,6,white,2758
11.6,0.475,0.4,1.4,0.091,6,28,0.99704,3.07,0.65,10.03333333,6,red,2809
6.3,0.27,0.49,1.2,0.063,35,92,0.9911,3.38,0.42,12.2,6,white,4213
15.9,0.36,0.65,7.5,0.096,22,71,0.9976,2.98,0.84,14.9,5,red,3073
6.9,0.28,0.3,1.6,0.047,46,132,0.9918,3.35,0.38,11.1,7,white,3012
7.2,0.4,0.24,8.5,0.055,45,151,0.99626,3.2,0.52,9.2,5,white,4768
7.4,0.22,0.33,2,0.045,31,101,0.9931,3.42,0.55,11.4,5,white,2764
4.8,0.21,0.21,10.2,0.037,17,112,0.99324,3.66,0.48,12.2,7,white,2858
6.5,0.18,0.34,1.6,0.04,43,148,0.9912,3.32,0.59,11.5,8,white,2835
6.9,0.24,0.23,7.1,0.041,20,97,0.99246,3.1,0.85,11.4,6,white,215
8.3,0.43,0.3,3.4,0.079,7,34,0.99788,3.36,0.61,10.5,5,red,48
6.5,0.24,0.32,7.6,0.038,48,203,0.9958,3.45,0.54,9.7,7,white,4414
8.8,0.35,0.49,1,0.036,14,56,0.992,2.96,0.33,10.5,4,white,3364
6.7,0.4,0.22,8.8,0.052,24,113,0.99576,3.22,0.45,9.4,5,white,774
7,0.39,0.21,10.7,0.098,13,91,0.99657,3.03,0.47,9.3,5,white,4301
7.2,0.39,0.32,1.8,0.065,34,60,0.99714,3.46,0.78,9.9,5,red,4600
8.3,0.85,0.14,2.5,0.093,13,54,0.99724,3.36,0.54,10.1,5,red,3356
7.2,0.63,0.03,2.2,0.08,17,88,0.99745,3.53,0.58,9.8,6,red,2259
6.6,0.29,0.29,1.8,0.036,38,102,0.98819,3.08,0.42,13.7,7,white,4382
6.4,0.69,0.09,7.6,0.044,34,144,0.9948,3.26,0.38,10.1,6,white,1472
6.7,0.41,0.24,5.4,0.035,33,115,0.9901,3.12,0.44,12.89333333,7,white,1688
6.4,0.28,0.19,5.4,0.042,67,181,0.99435,3.31,0.35,10.2,6,white,1310
5.8,0.26,0.3,2.6,0.034,75,129,0.9902,3.2,0.38,11.5,4,white,4735
6.7,0.36,0.28,8.3,0.034,29,81,0.99151,2.96,0.39,12.5,6,white,2141
8.2,0.42,0.29,4.1,0.03,31,100,0.9911,3,0.32,12.8,7,white,1474
6.4,0.2,0.28,2.5,0.032,24,84,0.99168,3.31,0.55,11.5,5,white,2460
5.9,0.61,0.08,2.1,0.071,16,24,0.99376,3.56,0.77,11.1,6,red,4413
7.1,0.61,0.02,2.5,0.081,17,87,0.99745,3.48,0.6,9.7,6,red,3682
6.4,0.63,0.21,1.6,0.08,12,32,0.99689,3.58,0.66,9.8,5,red,3616
8.2,0.22,0.49,9.6,0.037,53,154,0.9951,3.02,0.33,10.6,6,white,1918
10,0.69,0.11,1.4,0.084,8,24,0.99578,2.88,0.47,9.7,5,red,1379
6.8,0.36,0.32,1.6,0.039,10,124,0.9948,3.3,0.67,9.6,5,white,2286
6.8,0.28,0.43,7.6,0.03,30,110,0.99164,3.08,0.59,12.5,8,white,3689
5.5,0.16,0.22,4.5,0.03,30,102,0.9938,3.24,0.36,9.4,6,white,1220
6.4,0.17,0.27,9.9,0.047,26,101,0.99596,3.34,0.5,9.9,6,white,603
7.1,0.43,0.17,1.8,0.082,27,51,0.99634,3.49,0.64,10.4,5,red,5114
6.7,0.27,0.33,3.6,0.034,9,45,0.99144,3.08,0.4,10.5,6,white,884
7.4,0.64,0.17,5.4,0.168,52,98,0.99736,3.28,0.5,9.5,5,red,1008
8.5,0.4,0.4,6.3,0.05,3,10,0.99566,3.28,0.56,12,4,red,4670
6.6,0.28,0.41,7,0.046,59,194,0.99558,3.14,0.48,9.4,5,white,1094
6.5,0.34,0.28,1.8,0.041,43,188,0.9928,3.13,0.37,9.6,6,white,2243
6.8,0.26,0.24,7.8,0.052,54,214,0.9961,3.13,0.47,8.9,5,white,593
6.2,0.53,0.02,0.9,0.035,6,81,0.99234,3.24,0.35,9.5,4,white,2606
8.4,0.18,0.42,5.1,0.036,7,77,0.9939,3.16,0.52,11.7,5,white,2023
7,0.23,0.26,7.2,0.041,21,90,0.99509,3.22,0.55,9.5,6,white,2014
6.8,0.18,0.46,1.4,0.064,37,160,0.9924,3.37,0.45,11.1,5,white,435
6.8,0.29,0.49,1.4,0.142,52,148,0.9937,3.08,0.49,9,6,white,2359
5.4,0.22,0.29,1.2,0.045,69,152,0.99178,3.76,0.63,11,7,white,995
5.9,0.28,0.14,8.6,0.032,30,142,0.99542,3.28,0.44,9.5,6,white,4480
6.4,0.24,0.23,7.3,0.069,31,157,0.9962,3.25,0.53,9.1,5,white,1145
5.1,0.33,0.22,1.6,0.027,18,89,0.9893,3.51,0.38,12.5,7,white,2674
7.4,0.7,0,1.9,0.076,11,34,0.9978,3.51,0.56,9.4,5,red,3670
6.7,0.18,0.28,10.2,0.039,29,115,0.99469,3.11,0.45,10.9,7,white,3165
6.3,0.32,0.26,12,0.049,63,170,0.9961,3.14,0.55,9.9,6,white,1832
6.5,0.35,0.28,12.4,0.051,86,213,0.9962,3.16,0.51,9.9,6,white,4449
7,0.16,0.36,2.6,0.029,28,98,0.99126,3.11,0.37,11.2,7,white,3015
10.4,0.52,0.45,2,0.08,6,13,0.99774,3.22,0.76,11.4,6,red,5072
7.5,0.29,0.67,8.1,0.037,53,166,0.9966,2.9,0.41,8.9,6,white,1422
8.7,0.42,0.45,2.4,0.072,32,59,0.99617,3.33,0.77,12,6,red,3573
8.3,0.21,0.4,1.6,0.032,35,110,0.9907,3.02,0.6,12.9,7,white,4750
6.5,0.36,0.49,2.9,0.03,16,94,0.9902,3.1,0.49,12.1,7,white,1952
6.8,0.28,0.17,13.9,0.047,49,162,0.9983,3.21,0.51,9,6,white,1930
7.9,0.27,0.27,1.7,0.034,25,122,0.99088,2.97,0.51,11.9,6,white,2603
6.8,0.51,0.3,4.2,0.066,38,165,0.9945,3.2,0.42,9.1,5,white,4274
6.7,0.21,0.34,1.4,0.049,36,112,0.99091,3.02,0.5,11,6,white,1989
9.8,0.5,0.34,2.3,0.094,10,45,0.99864,3.24,0.6,9.7,7,red,3714
6.2,0.15,0.46,1.6,0.039,38,123,0.993,3.38,0.51,9.7,6,white,4355
7.3,0.32,0.23,2.3,0.066,35,70,0.99588,3.43,0.62,10.1,5,red,2859
8,0.38,0.44,1.9,0.098,6,15,0.9956,3.3,0.64,11.4,6,red,1295
6.3,0.24,0.74,1.4,0.172,24,108,0.9932,3.27,0.39,9.9,6,white,3823
8.2,0.38,0.32,2.5,0.08,24,71,0.99624,3.27,0.85,11,6,red,4545
6.7,0.3,0.29,2.8,0.025,37,107,0.99159,3.31,0.63,11.3,7,white,156
7.7,0.39,0.49,7.7,0.036,11,110,0.9966,3.33,0.76,10,6,white,4642
7.4,0.33,0.26,15.6,0.049,67,210,0.99907,3.06,0.68,9.5,5,white,4448
6,0.2,0.26,6.8,0.049,22,93,0.9928,3.15,0.42,11,6,white,3685
6.9,0.22,0.37,15,0.053,59,178,0.9992,3.37,0.82,9.5,7,white,4232
6.3,0.3,0.24,6.6,0.04,38,141,0.995,3.22,0.47,9.5,5,white,4244
7.4,0.36,0.29,2.6,0.087,26,72,0.99645,3.39,0.68,11,5,red,4386
7.1,0.22,0.49,1.8,0.039,8,18,0.99344,3.39,0.56,12.4,6,red,4162
9.6,0.88,0.28,2.4,0.086,30,147,0.9979,3.24,0.53,9.4,5,red,3107
9.1,0.22,0.24,2.1,0.078,1,28,0.999,3.41,0.87,10.3,6,red,2270
8.4,0.56,0.04,2,0.082,10,22,0.9976,3.22,0.44,9.6,5,red,349
5,0.29,0.54,5.7,0.035,54,155,0.98976,3.27,0.34,12.9,8,white,1473
7.5,0.27,0.34,2.3,0.05,4,8,0.9951,3.4,0.64,11,7,red,5
9.9,0.63,0.24,2.4,0.077,6,33,0.9974,3.09,0.57,9.4,5,red,2293
9.1,0.76,0.68,1.7,0.414,18,64,0.99652,2.9,1.33,9.1,6,red,3321
7.3,0.4,0.24,6.7,0.058,41,166,0.995,3.2,0.41,9.9,6,white,2700
8.3,0.655,0.12,2.3,0.083,15,113,0.9966,3.17,0.66,9.8,5,red,1508
6.4,0.35,0.28,1.1,0.055,9,160,0.99405,3.42,0.5,9.1,7,white,133
7.2,0.24,0.3,1.2,0.037,11,95,0.98914,2.96,0.36,12.5,6,white,755
6.8,0.785,0,2.4,0.104,14,30,0.9966,3.52,0.55,10.7,6,red,1815
6.8,0.27,0.28,7.8,0.038,26,89,0.9915,3.24,0.34,12.5,6,white,1237
8.3,0.26,0.31,2,0.029,14,141,0.99077,2.95,0.77,12.2,6,white,4961
6.9,0.34,0.36,1.4,0.032,13,145,0.99214,3.07,0.52,9.8,5,white,3722
5.7,0.23,0.28,9.65,0.025,26,121,0.9925,3.28,0.38,11.3,6,white,1166
9.1,0.66,0.15,3.2,0.097,9,59,0.99976,3.28,0.54,9.6,5,red,3798
6.8,0.48,0.25,2,0.076,29,61,0.9953,3.34,0.6,10.4,5,red,2915
7.2,0.17,0.34,6.4,0.042,16,111,0.99278,2.99,0.4,10.8,6,white,4380
6.7,0.54,0.13,2,0.076,15,36,0.9973,3.61,0.64,9.8,5,red,4304
7,0.32,0.31,6.4,0.031,38,115,0.99235,3.38,0.58,12.2,7,white,338
5.9,0.23,0.24,1.6,0.037,32,115,0.99076,3.21,0.51,11.4,6,white,1060
6.8,0.18,0.28,1.1,0.027,32,112,0.99089,3.15,0.45,11,7,white,3425
6.2,0.3,0.26,13.4,0.046,57,206,0.99775,3.17,0.43,9.5,6,white,2265
5.8,0.29,0.27,1.6,0.062,17,140,0.99138,3.23,0.35,11.1,6,white,2771
6.4,0.41,0.24,14,0.048,24,113,0.9982,3.44,0.53,9.8,6,white,4593
7.2,0.66,0.03,2.3,0.078,16,86,0.99743,3.53,0.57,9.7,5,red,1167
6.4,0.29,0.24,3.2,0.037,31,95,0.98942,2.9,0.66,12.6,7,white,177
6,0.28,0.25,1.8,0.042,8,108,0.9929,3.08,0.55,9,5,white,3156
6.6,0.22,0.29,14.4,0.046,39,118,0.99834,3.05,0.5,9.1,6,white,4154
8,0.43,0.36,2.3,0.075,10,48,0.9976,3.34,0.46,9.4,5,red,3181
7.7,0.66,0.04,1.6,0.039,4,9,0.9962,3.4,0.47,9.4,5,red,3031
6.6,0.22,0.23,17.3,0.047,37,118,0.99906,3.08,0.46,8.8,6,white,733
6.6,0.21,0.3,9.9,0.041,64,174,0.995,3.07,0.5,10.1,6,white,964
7.1,0.43,0.61,11.8,0.045,54,155,0.9974,3.11,0.45,8.7,5,white,966
6.4,0.18,0.74,11.9,0.046,54,168,0.9978,3.58,0.68,10.1,5,white,4956
8.2,0.885,0.2,1.4,0.086,7,31,0.9946,3.11,0.46,10,5,red,4497
7.3,0.22,0.4,14.75,0.042,44.5,129.5,0.9998,3.36,0.41,9.1,7,white,361
7.4,0.32,0.55,16.6,0.056,53,238,1.0017,2.96,0.58,8.7,6,white,698
7.3,0.23,0.27,2.6,0.035,39,120,0.99138,3.04,0.59,11.3,7,white,488
5.2,0.155,0.33,1.6,0.028,13,59,0.98975,3.3,0.84,11.9,8,white,2634
6.1,0.32,0.25,1.8,0.086,5,32,0.99464,3.36,0.44,10.1,5,red,1704
6,0.38,0.26,6,0.034,42,134,0.9912,3.38,0.38,12.3,7,white,2228
7.5,0.24,0.31,13.1,0.05,26,180,0.99884,3.05,0.53,9.1,6,white,743
6.4,0.22,0.31,13.9,0.04,57,135,0.99672,3.21,0.38,10.7,5,white,170
6.8,0.17,0.74,2.4,0.053,61,182,0.9953,3.63,0.76,10.5,6,white,3833
6.8,0.19,0.32,7.6,0.049,37,107,0.99332,3.12,0.44,10.7,7,white,1261
7.3,0.205,0.31,1.7,0.06,34,110,0.9963,3.72,0.69,10.5,6,white,3187
7.9,0.65,0.01,2.5,0.078,17,38,0.9963,3.34,0.74,11.7,7,red,3631
8.2,0.18,0.31,11.8,0.039,96,249,0.9976,3.07,0.52,9.5,6,white,612
7.5,0.33,0.39,12.4,0.065,29,119,0.9974,3.16,0.39,9.4,5,white,3707
6.7,0.23,0.26,1.4,0.06,33,154,0.9934,3.24,0.56,9.5,6,white,1409
6.1,0.28,0.25,6.9,0.056,44,201,0.9955,3.19,0.4,9.1,6,white,428
7.3,0.58,0.3,2.4,0.074,15,55,0.9968,3.46,0.59,10.2,5,red,3991
7.7,0.34,0.58,11.1,0.039,41,151,0.9978,3.06,0.49,8.6,5,white,1038
6.8,0.36,0.32,1.8,0.067,4,8,0.9928,3.36,0.55,12.8,7,red,11
7.8,0.16,0.41,1.7,0.026,29,140,0.991,3.02,0.78,12.5,6,white,4635
7.1,0.16,0.36,1.2,0.043,21,90,0.9925,3.16,0.42,11,7,white,887
6.7,0.23,0.42,11.2,0.047,52,171,0.99758,3.54,0.74,10.4,5,white,4004
8.8,0.33,0.44,6.35,0.024,9,87,0.9917,2.96,0.4,12.6,7,white,3510
6,0.27,0.32,3.6,0.035,36,133,0.99215,3.23,0.46,10.8,6,white,3453
7.1,0.21,0.28,2.7,0.034,23,111,0.99405,3.35,0.64,10.2,4,white,2132
6.7,0.15,0.29,5,0.058,28,105,0.9946,3.52,0.44,10.2,7,white,3445
7.5,0.24,0.62,10.6,0.045,51,153,0.99779,3.16,0.44,8.8,5,white,925
6.9,0.26,0.33,12.6,0.051,59,173,0.998,3.39,0.38,9.9,5,white,834
6.4,0.39,0.21,1.2,0.041,35,136,0.99225,3.15,0.46,10.2,5,white,3687
6.4,0.31,0.5,5.8,0.038,42,111,0.99189,3.18,0.53,11.9,7,white,26
5,1.04,0.24,1.6,0.05,32,96,0.9934,3.74,0.62,11.5,5,red,1300
8.8,0.27,0.25,5,0.024,52,99,0.9925,2.87,0.49,11.4,5,white,3528
7.7,0.61,0.18,2.4,0.083,6,20,0.9963,3.29,0.6,10.2,6,red,5105
6.3,0.34,0.31,6,0.02,18,68,0.98981,3.22,0.29,13.4,7,white,2641
7,0.33,0.28,5.7,0.033,39,204,0.99176,3.17,0.64,12.5,6,white,2196
5.8,0.36,0.38,0.9,0.037,3,75,0.9904,3.28,0.34,11.4,4,white,932
6.7,0.24,0.3,3.85,0.042,105,179,0.99189,3.04,0.59,11.3,8,white,1711
8.6,0.31,0.3,0.9,0.045,16,109,0.99249,2.95,0.39,10.1,5,white,100
6.2,0.3,0.21,1.1,0.032,31,111,0.9889,2.97,0.42,12.2,6,white,2540
7,0.21,0.28,8.6,0.045,37,221,0.9954,3.25,0.54,10.4,6,white,3546
8.5,0.17,0.49,8.8,0.048,23,108,0.9947,2.88,0.34,10.5,4,white,1025
6.4,0.3,0.38,7.8,0.046,35,192,0.9955,3.1,0.37,9,5,white,2885
6.1,0.34,0.24,18.35,0.05,33,184,0.99943,3.12,0.61,9.3,5,white,2200
7.2,0.31,0.35,7.2,0.046,45,178,0.9955,3.14,0.53,9.7,5,white,2745
10.7,0.52,0.38,2.6,0.066,29,56,0.99577,3.15,0.79,12.1,7,red,705
6.4,0.24,0.28,11.5,0.05,34,163,0.9969,3.31,0.45,9.5,5,white,243
9.2,0.28,0.49,11.8,0.042,29,137,0.998,3.1,0.34,10.1,4,white,3751
11.6,0.44,0.64,2.1,0.059,5,15,0.998,3.21,0.67,10.2,6,red,1702
8.4,0.27,0.3,2.2,0.037,36,129,0.99085,2.89,0.3,11.46666667,6,white,3768
8.3,0.56,0.22,2.4,0.082,10,86,0.9983,3.37,0.62,9.5,5,red,1171
7.7,0.25,0.3,7.8,0.038,67,196,0.99555,3.1,0.5,10.1,5,white,4061
9.2,0.31,0.36,2.2,0.079,11,31,0.99615,3.33,0.86,12,7,red,531
6.7,0.16,0.36,2,0.045,24,131,0.99284,3.3,0.59,10.5,6,white,5006
7,0.3,0.38,14.9,0.032,60,181,0.9983,3.18,0.61,9.3,7,white,144
6,0.16,0.37,1.5,0.025,43,117,0.9928,3.46,0.51,9.7,6,white,5089
6.4,0.15,0.4,1.5,0.042,23,87,0.98972,3.11,0.46,12.2,7,white,5037
8.1,0.38,0.48,1.8,0.157,5,17,0.9976,3.3,1.05,9.4,5,red,1542
6.8,0.21,0.27,18.15,0.042,41,146,1.0001,3.3,0.36,8.7,5,white,57
6.2,0.18,0.38,1.5,0.028,36,117,0.993,3.47,0.54,9.7,6,white,5170
8,0.22,0.42,14.6,0.044,45,163,1.0003,3.21,0.69,8.6,7,white,4803
8.4,0.56,0.08,2.1,0.105,16,44,0.9958,3.13,0.52,11,5,red,3844
7.3,0.26,0.49,5,0.028,32,107,0.9936,3.24,0.54,10.8,6,white,3412
6.8,0.48,0.08,1.8,0.074,40,64,0.99529,3.12,0.49,9.6,5,red,308
7.2,0.23,0.39,14.2,0.058,49,192,0.9979,2.98,0.48,9,7,white,1489
6.8,0.23,0.4,1.6,0.047,5,133,0.993,3.23,0.7,11.4,6,white,1810
6.7,0.3,0.5,12.1,0.045,38,127,0.9974,3.04,0.53,8.9,6,white,2759
